Polynomial_Size,Sparsity,Dist_To_Next_Pow2,Is_Power_2,Is_Power_4,Best_Algorithm
54,0.24598993701213445,10,0,0,Radix-Split
208,0.35382352325887395,48,0,0,Radix-Split
2,0.444444,0,1,0,Radix-Split
3936,0.04401805176453258,160,0,0,Radix-Split
217,0.555556,39,0,0,Radix-Split
792,0.777778,232,0,0,Radix-Split
217,0.333333,39,0,0,Radix-Split
691,0.111111,333,0,0,Radix-Split
3244,0.3397516206429492,852,0,0,Radix-Split
2691,1.0,1405,0,0,Radix-Split
797,0.333333,227,0,0,Radix-Split
2777,0.555556,1319,0,0,Radix-Split
2133,0.0,1963,0,0,Radix-Split
2463,1.0,1633,0,0,Radix-Split
2,0.26783068282402694,0,1,0,Radix-Split
878,0.666667,146,0,0,Radix-Split
57,0.7986652802795402,7,0,0,Radix-Split
162,0.18168106805765802,94,0,0,Radix-Split
4496,0.111111,3696,0,0,Radix-Split
3266,0.222222,830,0,0,Radix-Split
14,0.0,2,0,0,Radix-Split
430,0.444444,82,0,0,Radix-Split
2744,0.666667,1352,0,0,Radix-Split
2764,0.333333,1332,0,0,Radix-Split
62,0.8391908639576634,2,0,0,Radix-Split
293,0.666667,219,0,0,Radix-Split
62,0.333333,2,0,0,Radix-Split
444,0.316523269651707,68,0,0,Radix-Split
2,1.0,0,1,0,Radix-Split
1272,0.888889,776,0,0,Radix-Split
162,0.6435987065583224,94,0,0,Radix-Split
1904,0.222222,144,0,0,Radix-Split
562,0.777778,462,0,0,Radix-Split
1493,0.0,555,0,0,Radix-Split
2005,0.444444,43,0,0,Radix-Split
3936,0.0,160,0,0,Radix-Split
48,0.7248457635451024,16,0,0,Radix-Split
783,0.30500203047012053,241,0,0,Radix-Split
2842,0.9574044356891726,1254,0,0,Radix-Split
42,0.444444,22,0,0,Radix-Split
797,0.666667,227,0,0,Radix-Split
45,0.44389655334178013,19,0,0,Radix-Split
45,0.42652756210283393,19,0,0,Radix-Split
171,0.222222,85,0,0,Radix-Split
792,0.7572469111152982,232,0,0,Radix-Split
1545,0.8580563746245722,503,0,0,Radix-Split
1472,1.0,576,0,0,Radix-Split
62,0.8369582827064902,2,0,0,Radix-Split
921,0.777778,103,0,0,Radix-Split
131,1.0,125,0,0,Radix-Split
2744,0.555556,1352,0,0,Radix-Split
3268,0.777778,828,0,0,Radix-Split
3948,1.0,148,0,0,Radix-Split
2539,0.555556,1557,0,0,Radix-Split
54,0.888889,10,0,0,Radix-Split
62,0.6393156928673331,2,0,0,Radix-Split
692,1.0,332,0,0,Radix-Split
3936,0.444444,160,0,0,Radix-Split
58,0.0,6,0,0,Radix-Split
1674,0.444444,374,0,0,Radix-Split
217,0.333333,39,0,0,Radix-Split
3947,0.0,149,0,0,Radix-Split
200,0.1830604211873843,56,0,0,Radix-Split
797,0.666667,227,0,0,Radix-Split
162,0.222222,94,0,0,Radix-Split
692,1.0,332,0,0,Radix-Split
4191,0.222222,4001,0,0,Radix-Split
1493,0.777778,555,0,0,Radix-Split
313,0.444444,199,0,0,Radix-Split
691,0.777778,333,0,0,Radix-Split
54,0.222222,10,0,0,Radix-Split
3832,0.333333,264,0,0,Radix-Split
14,0.888889,2,0,0,Radix-Split
1457,1.0,591,0,0,Radix-Split
692,0.222222,332,0,0,Radix-Split
562,0.0,462,0,0,Radix-Split
2,0.3947570637463673,0,1,0,Radix-Split
171,0.111111,85,0,0,Radix-Split
2339,0.333333,1757,0,0,Radix-Split
1579,0.23228530690273286,469,0,0,Radix-Split
14,0.8884504853789383,2,0,0,Radix-Split
62,0.777778,2,0,0,Radix-Split
2,0.27025476617663435,0,1,0,Radix-Split
1472,1.0,576,0,0,Radix-Split
33,0.333333,31,0,0,Radix-Split
545,0.333333,479,0,0,Radix-Split
430,1.0,82,0,0,Radix-Split
217,0.444444,39,0,0,Radix-Split
162,0.111111,94,0,0,Radix-Split
50,0.444444,14,0,0,Radix-Split
174,0.333333,82,0,0,Radix-Split
1677,0.111111,371,0,0,Radix-Split
172,0.444444,84,0,0,Radix-Split
14,0.0,2,0,0,Radix-Split
783,0.777778,241,0,0,Radix-Split
50,0.888889,14,0,0,Radix-Split
33,0.0,31,0,0,Radix-Split
3503,0.333333,593,0,0,Radix-Split
2969,0.555556,1127,0,0,Radix-Split
62,0.02235821369708775,2,0,0,Radix-Split
14,0.888889,2,0,0,Radix-Split
3948,0.20142189664853213,148,0,0,Radix-Split
174,0.333333,82,0,0,Radix-Split
1476,1.0,572,0,0,Radix-Split
513,0.222222,511,0,0,Radix-Split
787,1.0,237,0,0,Radix-Split
3948,0.333333,148,0,0,Radix-Split
182,0.26975385737772806,74,0,0,Radix-Split
2,0.12158908637096784,0,1,0,Radix-Split
64,0.333333,0,1,1,Radix-Split
43,0.222222,21,0,0,Radix-Split
3894,0.30300816831671024,202,0,0,Radix-Split
3266,0.444444,830,0,0,Radix-Split
192,0.666667,64,0,0,Radix-Split
2690,1.0,1406,0,0,Radix-Split
48,0.444444,16,0,0,Radix-Split
1472,0.0,576,0,0,Radix-Split
418,0.333333,94,0,0,Radix-Split
342,1.0,170,0,0,Radix-Split
48,0.29954367311244967,16,0,0,Radix-Split
51,0.444444,13,0,0,Radix-Split
421,0.9675951855920321,91,0,0,Radix-Split
33,0.333333,31,0,0,Radix-Split
2744,0.555556,1352,0,0,Radix-Split
37,0.06832355428682149,27,0,0,Radix-Split
375,0.234656539315891,137,0,0,Radix-Split
2744,0.0,1352,0,0,Radix-Split
3947,0.0,149,0,0,Radix-Split
174,0.333333,82,0,0,Radix-Split
792,0.777778,232,0,0,Radix-Split
2691,0.111111,1405,0,0,Radix-Split
2463,0.0,1633,0,0,Radix-Split
1156,1.0,892,0,0,Radix-Split
2975,0.13521388299278722,1121,0,0,Radix-Split
2463,0.333333,1633,0,0,Radix-Split
4191,0.20569322601890183,4001,0,0,Radix-Split
2690,0.34882242659121865,1406,0,0,Radix-Split
2691,0.444444,1405,0,0,Radix-Split
62,0.222222,2,0,0,Radix-Split
3947,0.0,149,0,0,Radix-Split
783,0.333333,241,0,0,Radix-Split
43,0.888889,21,0,0,Radix-Split
787,0.0,237,0,0,Radix-Split
1493,0.777778,555,0,0,Radix-Split
51,0.0,13,0,0,Radix-Split
2777,0.111111,1319,0,0,Radix-Split
430,0.1403080688020416,82,0,0,Radix-Split
4496,0.111111,3696,0,0,Radix-Split
2,0.019937412595313675,0,1,0,Radix-Split
174,1.0,82,0,0,Radix-Split
1459,0.0,589,0,0,Radix-Split
761,0.666667,263,0,0,Radix-Split
169,1.0,87,0,0,Radix-Split
62,0.666667,2,0,0,Radix-Split
3661,0.7737549289941725,435,0,0,Radix-Split
691,0.111111,333,0,0,Radix-Split
188,0.222222,68,0,0,Radix-Split
1457,0.17342487185824232,591,0,0,Radix-Split
174,0.333333,82,0,0,Radix-Split
64,0.222222,0,1,1,Radix-Split
2744,0.6241806284019026,1352,0,0,Radix-Split
692,0.444444,332,0,0,Radix-Split
797,0.7289560991286123,227,0,0,Radix-Split
200,0.333333,56,0,0,Radix-Split
48,0.39767190045028267,16,0,0,Radix-Split
62,0.444444,2,0,0,Radix-Split
285,0.444444,227,0,0,Radix-Split
131,0.777778,125,0,0,Radix-Split
539,0.333333,485,0,0,Radix-Split
1493,0.8564815849336107,555,0,0,Radix-Split
269,0.015439288141282162,243,0,0,Radix-Split
692,0.444444,332,0,0,Radix-Split
34,0.555556,30,0,0,Radix-Split
81,1.0,47,0,0,Radix-Split
2690,1.0,1406,0,0,Radix-Split
794,0.0,230,0,0,Radix-Split
2590,0.0,1506,0,0,Radix-Split
3870,0.3689499091702281,226,0,0,Radix-Split
1918,0.0,130,0,0,Radix-Split
2,1.0,0,1,0,Radix-Split
3553,0.777778,543,0,0,Radix-Split
2744,0.555556,1352,0,0,Radix-Split
166,0.888889,90,0,0,Radix-Split
3936,0.0,160,0,0,Radix-Split
2005,0.777778,43,0,0,Radix-Split
217,0.444444,39,0,0,Radix-Split
9,0.0,7,0,0,Radix-Split
4,0.444444,0,1,1,Radix-Split
783,0.23398048711009697,241,0,0,Radix-Split
2463,1.0,1633,0,0,Radix-Split
14,0.0,2,0,0,Radix-Split
4191,0.333333,4001,0,0,Radix-Split
723,0.06583240511142978,301,0,0,Radix-Split
42,0.39644482698999167,22,0,0,Radix-Split
51,0.444444,13,0,0,Radix-Split
62,0.222222,2,0,0,Radix-Split
14,0.111111,2,0,0,Radix-Split
4496,0.111111,3696,0,0,Radix-Split
1796,1.0,252,0,0,Radix-Split
444,0.5994401676758577,68,0,0,Radix-Split
147,0.777778,109,0,0,Radix-Split
697,0.222222,327,0,0,Radix-Split
787,0.03939063409701285,237,0,0,Radix-Split
217,0.222222,39,0,0,Radix-Split
169,1.0,87,0,0,Radix-Split
780,0.0,244,0,0,Radix-Split
797,0.666667,227,0,0,Radix-Split
192,0.222222,64,0,0,Radix-Split
162,0.222222,94,0,0,Radix-Split
162,0.222222,94,0,0,Radix-Split
2353,0.222222,1743,0,0,Radix-Split
2,1.0,0,1,0,Radix-Split
2463,1.0,1633,0,0,Radix-Split
2433,1.0,1663,0,0,Radix-Split
3474,0.0,622,0,0,Radix-Split
2690,0.444444,1406,0,0,Radix-Split
280,0.0,232,0,0,Radix-Split
166,0.222222,90,0,0,Radix-Split
792,0.777778,232,0,0,Radix-Split
172,0.444444,84,0,0,Radix-Split
3135,0.777778,961,0,0,Radix-Split
783,0.333333,241,0,0,Radix-Split
174,0.666667,82,0,0,Radix-Split
20,0.444444,12,0,0,Radix-Split
64,0.222222,0,1,1,Radix-Split
51,0.444444,13,0,0,Radix-Split
33,0.333333,31,0,0,Radix-Split
794,0.888889,230,0,0,Radix-Split
26,0.42266046103662336,6,0,0,Radix-Split
42,0.222222,22,0,0,Radix-Split
62,0.888889,2,0,0,Radix-Split
787,0.0,237,0,0,Radix-Split
