Polynomial_Size,Padded_Size,Sparsity,Dist_To_Next_Pow2,Is_Power_2,Is_Power_4,Radix_2_Time_ms,Modified_Radix_4_Time_ms,Radix_Split_Time_ms,Best_Algorithm
1,1,0,0,1,1,0,0,0,Radix-2
1,1,0.111111,0,1,1,0,0,0,Radix-2
1,1,0.222222,0,1,1,0,0,0,Radix-2
1,1,0.333333,0,1,1,0,0,0,Radix-2
1,1,0.444444,0,1,1,0,0,0,Radix-2
1,1,0.555556,0,1,1,0,0,0,Radix-2
1,1,0.666667,0,1,1,0,0,0,Radix-2
1,1,0.777778,0,1,1,0,0,0,Radix-2
1,1,0.888889,0,1,1,0,0,0,Radix-2
1,1,1,0,1,1,0,0,0,Radix-2
2,2,0,0,1,0,0,0,0,Radix-2
2,2,0.111111,0,1,0,0,0,0,Radix-2
2,2,0.222222,0,1,0,0,0,0,Radix-2
2,2,0.333333,0,1,0,0,0,0,Radix-2
2,2,0.444444,0,1,0,0,0,0,Radix-2
2,2,0.555556,0,1,0,0,0,0,Radix-2
2,2,0.666667,0,1,0,0,0,0,Radix-2
2,2,0.777778,0,1,0,0,0,0,Radix-2
2,2,0.888889,0,1,0,0,0,0,Radix-2
2,2,1,0,1,0,0,0,0,Radix-2
3,4,0,1,0,0,0.001,0.001,0.001,Radix-2
3,4,0.111111,1,0,0,0.001,0,0,Modified-Radix-4
3,4,0.222222,1,0,0,0.001,0,0,Modified-Radix-4
3,4,0.333333,1,0,0,0.001,0,0,Modified-Radix-4
3,4,0.444444,1,0,0,0.001,0,0,Modified-Radix-4
3,4,0.555556,1,0,0,0.001,0,0,Modified-Radix-4
3,4,0.666667,1,0,0,0.001,0,0,Modified-Radix-4
3,4,0.777778,1,0,0,0.001,0,0,Modified-Radix-4
3,4,0.888889,1,0,0,0.001,0,0,Modified-Radix-4
3,4,1,1,0,0,0.001,0,0,Modified-Radix-4
4,4,0,0,1,1,0.001,0,0,Modified-Radix-4
4,4,0.111111,0,1,1,0.001,0,0,Modified-Radix-4
4,4,0.222222,0,1,1,0.001,0,0,Modified-Radix-4
4,4,0.333333,0,1,1,0.001,0,0,Modified-Radix-4
4,4,0.444444,0,1,1,0.001,0,0,Modified-Radix-4
4,4,0.555556,0,1,1,0.001,0,0,Modified-Radix-4
4,4,0.666667,0,1,1,0.001,0,0,Modified-Radix-4
4,4,0.777778,0,1,1,0.001,0,0,Modified-Radix-4
4,4,0.888889,0,1,1,0.001,0,0,Modified-Radix-4
4,4,1,0,1,1,0.001,0,0,Modified-Radix-4
5,8,0,3,0,0,0.002,0.001,0.001,Modified-Radix-4
5,8,0.111111,3,0,0,0.002,0.001,0.001,Modified-Radix-4
5,8,0.222222,3,0,0,0.002,0.001,0.001,Modified-Radix-4
5,8,0.333333,3,0,0,0.002,0.001,0.001,Modified-Radix-4
5,8,0.444444,3,0,0,0.002,0.001,0.001,Modified-Radix-4
5,8,0.555556,3,0,0,0.002,0.001,0.001,Modified-Radix-4
5,8,0.666667,3,0,0,0.002,0.001,0.001,Modified-Radix-4
5,8,0.777778,3,0,0,0.002,0.001,0.001,Modified-Radix-4
5,8,0.888889,3,0,0,0.002,0.001,0.001,Modified-Radix-4
5,8,1,3,0,0,0.002,0.001,0.001,Modified-Radix-4
6,8,0,2,0,0,0.002,0.001,0.001,Modified-Radix-4
6,8,0.111111,2,0,0,0.002,0.001,0.001,Modified-Radix-4
6,8,0.222222,2,0,0,0.002,0.001,0.001,Modified-Radix-4
6,8,0.333333,2,0,0,0.002,0.001,0.001,Modified-Radix-4
6,8,0.444444,2,0,0,0.002,0.001,0.001,Modified-Radix-4
6,8,0.555556,2,0,0,0.002,0.001,0.001,Modified-Radix-4
6,8,0.666667,2,0,0,0.002,0.001,0.001,Modified-Radix-4
6,8,0.777778,2,0,0,0.002,0.001,0.001,Modified-Radix-4
6,8,0.888889,2,0,0,0.002,0.001,0.001,Modified-Radix-4
6,8,1,2,0,0,0.002,0.001,0.001,Modified-Radix-4
7,8,0,1,0,0,0.002,0.001,0.001,Modified-Radix-4
7,8,0.111111,1,0,0,0.002,0.001,0.001,Modified-Radix-4
7,8,0.222222,1,0,0,0.002,0.001,0.001,Modified-Radix-4
7,8,0.333333,1,0,0,0.002,0.001,0.001,Modified-Radix-4
7,8,0.444444,1,0,0,0.002,0.001,0.001,Modified-Radix-4
7,8,0.555556,1,0,0,0.002,0.001,0.001,Modified-Radix-4
7,8,0.666667,1,0,0,0.002,0.001,0.001,Modified-Radix-4
7,8,0.777778,1,0,0,0.002,0.001,0.001,Modified-Radix-4
7,8,0.888889,1,0,0,0.002,0.001,0.001,Modified-Radix-4
7,8,1,1,0,0,0.002,0.001,0.001,Modified-Radix-4
8,8,0,0,1,0,0.002,0.001,0.001,Modified-Radix-4
8,8,0.111111,0,1,0,0.002,0.001,0.001,Modified-Radix-4
8,8,0.222222,0,1,0,0.002,0.001,0.001,Modified-Radix-4
8,8,0.333333,0,1,0,0.002,0.001,0.001,Modified-Radix-4
8,8,0.444444,0,1,0,0.002,0.001,0.001,Modified-Radix-4
8,8,0.555556,0,1,0,0.002,0.001,0.001,Modified-Radix-4
8,8,0.666667,0,1,0,0.002,0.001,0.001,Modified-Radix-4
8,8,0.777778,0,1,0,0.002,0.001,0.001,Modified-Radix-4
8,8,0.888889,0,1,0,0.002,0.001,0.001,Modified-Radix-4
8,8,1,0,1,0,0.002,0.001,0.001,Modified-Radix-4
9,16,0,7,0,0,0.006,0.004,0.004,Modified-Radix-4
9,16,0.111111,7,0,0,0.005,0.004,0.004,Modified-Radix-4
9,16,0.222222,7,0,0,0.006,0.004,0.004,Modified-Radix-4
9,16,0.333333,7,0,0,0.005,0.004,0.004,Modified-Radix-4
9,16,0.444444,7,0,0,0.005,0.004,0.004,Modified-Radix-4
9,16,0.555556,7,0,0,0.005,0.004,0.004,Modified-Radix-4
9,16,0.666667,7,0,0,0.005,0.004,0.004,Modified-Radix-4
9,16,0.777778,7,0,0,0.006,0.004,0.004,Modified-Radix-4
9,16,0.888889,7,0,0,0.006,0.004,0.004,Modified-Radix-4
9,16,1,7,0,0,0.005,0.004,0.004,Modified-Radix-4
10,16,0,6,0,0,0.005,0.004,0.004,Modified-Radix-4
10,16,0.111111,6,0,0,0.005,0.004,0.004,Modified-Radix-4
10,16,0.222222,6,0,0,0.006,0.004,0.004,Modified-Radix-4
10,16,0.333333,6,0,0,0.005,0.004,0.004,Modified-Radix-4
10,16,0.444444,6,0,0,0.005,0.004,0.004,Modified-Radix-4
10,16,0.555556,6,0,0,0.005,0.004,0.004,Modified-Radix-4
10,16,0.666667,6,0,0,0.005,0.004,0.004,Modified-Radix-4
10,16,0.777778,6,0,0,0.005,0.004,0.004,Modified-Radix-4
10,16,0.888889,6,0,0,0.005,0.004,0.004,Modified-Radix-4
10,16,1,6,0,0,0.005,0.004,0.004,Modified-Radix-4
11,16,0,5,0,0,0.005,0.004,0.004,Modified-Radix-4
