Polynomial_Size,Sparsity,Dist_To_Next_Pow2,Is_Power_2,Is_Power_4,Best_Algorithm,Actual_Best_Algorithm
54,0.245989937,10,0,0,Radix-Split,Radix-Split
208,0.3538235233,48,0,0,Radix-Split,Modified-Radix-4
2,0.444444,0,1,0,Radix-Split,Radix-2
3936,0.04401805176,160,0,0,Radix-Split,Radix-2
217,0.555556,39,0,0,Radix-Split,Modified-Radix-4
792,0.777778,232,0,0,Radix-Split,Modified-Radix-4
217,0.333333,39,0,0,Radix-Split,Modified-Radix-4
691,0.111111,333,0,0,Radix-Split,Modified-Radix-4
3244,0.3397516206,852,0,0,Radix-Split,Modified-Radix-4
2691,1,1405,0,0,Radix-Split,Modified-Radix-4
797,0.333333,227,0,0,Radix-Split,Modified-Radix-4
2777,0.555556,1319,0,0,Radix-Split,Modified-Radix-4
2133,0,1963,0,0,Radix-Split,Modified-Radix-4
2463,1,1633,0,0,Radix-Split,Modified-Radix-4
2,0.2678306828,0,1,0,Radix-Split,Radix-2
878,0.666667,146,0,0,Radix-Split,Radix-Split
57,0.7986652803,7,0,0,Radix-Split,Radix-Split
162,0.1816810681,94,0,0,Radix-Split,Radix-Split
4496,0.111111,3696,0,0,Radix-Split,Modified-Radix-4
3266,0.222222,830,0,0,Radix-Split,Modified-Radix-4
14,0,2,0,0,Radix-Split,Radix-Split
430,0.444444,82,0,0,Radix-Split,Modified-Radix-4
2744,0.666667,1352,0,0,Radix-Split,Modified-Radix-4
2764,0.333333,1332,0,0,Radix-Split,Modified-Radix-4
62,0.839190864,2,0,0,Radix-Split,Modified-Radix-4
293,0.666667,219,0,0,Radix-Split,Modified-Radix-4
62,0.333333,2,0,0,Radix-Split,Radix-Split
444,0.3165232697,68,0,0,Radix-Split,Modified-Radix-4
2,1,0,1,0,Radix-Split,Radix-2
1272,0.888889,776,0,0,Radix-Split,Modified-Radix-4
162,0.6435987066,94,0,0,Radix-Split,Modified-Radix-4
1904,0.222222,144,0,0,Radix-Split,Modified-Radix-4
562,0.777778,462,0,0,Radix-Split,Radix-Split
1493,0,555,0,0,Radix-Split,Modified-Radix-4
2005,0.444444,43,0,0,Radix-Split,Modified-Radix-4
3936,0,160,0,0,Radix-Split,Modified-Radix-4
48,0.7248457635,16,0,0,Radix-Split,Radix-Split
783,0.3050020305,241,0,0,Radix-Split,Modified-Radix-4
2842,0.9574044357,1254,0,0,Radix-Split,Modified-Radix-4
42,0.444444,22,0,0,Radix-Split,Radix-Split
797,0.666667,227,0,0,Radix-Split,Radix-Split
45,0.4438965533,19,0,0,Radix-Split,Radix-Split
45,0.4265275621,19,0,0,Radix-Split,Radix-Split
171,0.222222,85,0,0,Radix-Split,Radix-Split
792,0.7572469111,232,0,0,Radix-Split,Modified-Radix-4
1545,0.8580563746,503,0,0,Radix-Split,Modified-Radix-4
1472,1,576,0,0,Radix-Split,Modified-Radix-4
62,0.8369582827,2,0,0,Radix-Split,Radix-Split
921,0.777778,103,0,0,Radix-Split,Radix-Split
131,1,125,0,0,Radix-Split,Radix-Split
2744,0.555556,1352,0,0,Radix-Split,Modified-Radix-4
3268,0.777778,828,0,0,Radix-Split,Modified-Radix-4
3948,1,148,0,0,Radix-Split,Modified-Radix-4
2539,0.555556,1557,0,0,Radix-Split,Modified-Radix-4
54,0.888889,10,0,0,Radix-Split,Radix-Split
62,0.6393156929,2,0,0,Radix-Split,Radix-Split
692,1,332,0,0,Radix-Split,Radix-Split
3936,0.444444,160,0,0,Radix-Split,Modified-Radix-4
58,0,6,0,0,Radix-Split,Radix-Split
1674,0.444444,374,0,0,Radix-Split,Modified-Radix-4
217,0.333333,39,0,0,Radix-Split,Radix-Split
3947,0,149,0,0,Radix-Split,Modified-Radix-4
200,0.1830604212,56,0,0,Radix-Split,Modified-Radix-4
797,0.666667,227,0,0,Radix-Split,Modified-Radix-4
162,0.222222,94,0,0,Radix-Split,Modified-Radix-4
692,1,332,0,0,Radix-Split,Modified-Radix-4
4191,0.222222,4001,0,0,Radix-Split,Modified-Radix-4
1493,0.777778,555,0,0,Radix-Split,Modified-Radix-4
313,0.444444,199,0,0,Radix-Split,Modified-Radix-4
691,0.777778,333,0,0,Radix-Split,Radix-Split
54,0.222222,10,0,0,Radix-Split,Radix-Split
3832,0.333333,264,0,0,Radix-Split,Modified-Radix-4
14,0.888889,2,0,0,Radix-Split,Radix-Split
1457,1,591,0,0,Radix-Split,Modified-Radix-4
692,0.222222,332,0,0,Radix-Split,Radix-Split
562,0,462,0,0,Radix-Split,Radix-Split
2,0.3947570637,0,1,0,Radix-Split,Radix-2
171,0.111111,85,0,0,Radix-Split,Modified-Radix-4
2339,0.333333,1757,0,0,Radix-Split,Modified-Radix-4
1579,0.2322853069,469,0,0,Radix-Split,Modified-Radix-4
14,0.8884504854,2,0,0,Radix-Split,Radix-Split
62,0.777778,2,0,0,Radix-Split,Radix-Split
2,0.2702547662,0,1,0,Radix-Split,Radix-2
1472,1,576,0,0,Radix-Split,Modified-Radix-4
33,0.333333,31,0,0,Radix-Split,Radix-Split
545,0.333333,479,0,0,Radix-Split,Modified-Radix-4
430,1,82,0,0,Radix-Split,Modified-Radix-4
217,0.444444,39,0,0,Radix-Split,Radix-Split
162,0.111111,94,0,0,Radix-Split,Modified-Radix-4
50,0.444444,14,0,0,Radix-Split,Radix-Split
174,0.333333,82,0,0,Radix-Split,Radix-Split
1677,0.111111,371,0,0,Radix-Split,Modified-Radix-4
